Prompt,Response,Description,Testcase name
Generate a Robot Framework test case for testing to validate customer is able to process payment for MAINE State (ME) with Credit card functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that the customer is able to process payment for Maine State (ME) with Credit Card functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${OMNICORP_MERCHANT}         OMNICORP_MERCHANT
${ACCOUNT_NUMBER}            account_number
${INVOICE_NUMBER}            invoice_number
${STATES}                    states
${PAYMENT_TYPE}              Lump Sum
${LUMPSUM_AMOUNT}            97.99
${PAYMENT_METHOD}            Credit Card
${CREDIT_CARD_DETAILS}       CREDIT_CARD_DETAILS
${SURCHARGE_PERCENTAGE}      states.Surcharge_Percentage

*** Test Cases ***
Validate Customer Is Able To Process Payment For Maine State With Credit Card
    [Documentation]    Test case for validating that the customer is able to process payment for Maine State (ME) with Credit Card functionality of the PayNOW datadriver
    Send Request To Create Customer    ${OMNICORP_MERCHANT}
    Send Request To Create Invoice For Customer    ${ACCOUNT_NUMBER}    ${OMNICORP_MERCHANT}
    Launch PayNow Application    ${OMNICORP_MERCHANT}
    Enter Account Number And Invoice    ${ACCOUNT_NUMBER}    ${INVOICE_NUMBER}
    Enter Customer Details    ${STATES}    ${OMNICORP_MERCHANT}
    Select Payment Type    ${PAYMENT_TYPE}
    Enter Lumpsum Amount    ${LUMPSUM_AMOUNT}
    Select Payment Method    ${PAYMENT_METHOD}
    Enter Credit Card Details    ${CREDIT_CARD_DETAILS}
    Validate Surcharge Percentage Should Be Equal    ${SURCHARGE_PERCENTAGE}
    Process Invoice Payment
    Validate Payment Receipt Is Generated",This test case checks the validation for processing payment for Maine State (ME) with Credit Card functionality of the PayNOW datadriver.,Validate Customer Is Able To Process Payment For Maine State With Credit Card
Generate a Robot Framework test case for testing to validate customer is able to process payment for MAINE State (ME) 2 with Credit card functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that the customer is able to process payment for Maine State (ME) 2 with Credit Card functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${OMNICORP_MERCHANT}         OMNICORP_MERCHANT
${ACCOUNT_NUMBER}            account_number
${INVOICE_NUMBER}            invoice_number
${STATES}                    states
${PAYMENT_TYPE}              Lump Sum
${LUMPSUM_AMOUNT}            97.99
${PAYMENT_METHOD}            Credit Card
${CREDIT_CARD_DETAILS}       CREDIT_CARD_DETAILS
${SURCHARGE_PERCENTAGE}      states.Surcharge_Percentage

*** Test Cases ***
Validate Customer Is Able To Process Payment For Maine State 2 With Credit Card
    [Documentation]    Test case for validating that the customer is able to process payment for Maine State (ME) 2 with Credit Card functionality of the PayNOW datadriver
    Send Request To Create Customer    ${OMNICORP_MERCHANT}
    Send Request To Create Invoice For Customer    ${ACCOUNT_NUMBER}    ${OMNICORP_MERCHANT}
    Launch PayNow Application    ${OMNICORP_MERCHANT}
    Enter Account Number And Invoice    ${ACCOUNT_NUMBER}    ${INVOICE_NUMBER}
    Enter Customer Details    ${STATES}    ${OMNICORP_MERCHANT}
    Select Payment Type    ${PAYMENT_TYPE}
    Enter Lumpsum Amount    ${LUMPSUM_AMOUNT}
    Select Payment Method    ${PAYMENT_METHOD}
    Enter Credit Card Details    ${CREDIT_CARD_DETAILS}
    Validate Surcharge Percentage Should Be Equal    ${SURCHARGE_PERCENTAGE}
    Process Invoice Payment
    Validate Payment Receipt Is Generated",This test case checks the validation for processing payment for Maine State (ME) 2 with Credit Card functionality of the PayNOW datadriver.,Validate Customer Is Able To Process Payment For Maine State 2 With Credit Card
Generate a Robot Framework test case for testing to validate customer is able to schedule autopay payments on a Sunday of the week functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that the customer is able to schedule autopay payments on a Sunday of the week functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${OMNICORP_MERCHANT}         OMNICORP_MERCHANT
${ACCOUNT_NUMBER}            account_number
${INVOICE_NUMBER}            invoice_number
${PAYMENT_DETAILS_DAY}       Payment_details.Day
${CARD_NUMBER}               4111111111111111

*** Test Cases ***
Validate Customer Is Able To Schedule AutoPay Payments On A Sunday Of The Week
    [Documentation]    Test case for validating that the customer is able to schedule autopay payments on a Sunday of the week functionality of the PayNOW datadriver
    Send Request To Create Customer    ${OMNICORP_MERCHANT}
    Send Request To Create Invoice For Customer    ${ACCOUNT_NUMBER}    ${OMNICORP_MERCHANT}
    Login To PayNOW And Navigate To Autopay    ${ACCOUNT_NUMBER}    ${INVOICE_NUMBER}
    Select Specific Day Of The Week    ${PAYMENT_DETAILS_DAY}
    Select Invoices Due For The Payment
    Enter Customer And Credit Card Details For Autopay    ${CARD_NUMBER}
    Validate Created AutoPay Details For Specific Day    Days of Week    ${PAYMENT_DETAILS_DAY}
    Send Request To Create AutoPay For Specific Day    ${ACCOUNT_NUMBER}    ${CARD_NUMBER}    ${PAYMENT_DETAILS_DAY}
    Validate Created AutoPay Details For Specific Day    All Invoices Due    ${PAYMENT_DETAILS_DAY}
    Validate AutoPay Origin In Scheduled Payments    ${ACCOUNT_NUMBER}    ${INVOICE_NUMBER}    AutoPay",This test case checks the validation for scheduling autopay payments on a Sunday of the week functionality of the PayNOW datadriver.,Validate Customer Is Able To Schedule AutoPay Payments On A Sunday Of The Week
Generate a Robot Framework test case for testing to validate customer is unable to process payment by a decline card functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that the customer is unable to process payment by a declined card functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${NON_INTEGRATED_MERCHANT}   NON_INTEGRATED_MERCHANT
${CUSTOMER_DETAILS}          customer_details
${PAYMENT_TYPE}              Lump Sum
${LUMPSUM_AMOUNT}            1
${PAYMENT_METHOD}            Credit Card
${CARD_DETAILS}              card_details
${ERROR_MESSAGE}             card_details.Error_Message

*** Test Cases ***
Validate Customer Is Unable To Process Payment By A Declined Card
    [Documentation]    Test case for validating that the customer is unable to process payment by a declined card functionality of the PayNOW datadriver
    Launch PayNow Application    ${NON_INTEGRATED_MERCHANT}
    Enter Customer Details    ${CUSTOMER_DETAILS}    ${NON_INTEGRATED_MERCHANT}
    Select Payment Type    ${PAYMENT_TYPE}
    Enter Lumpsum Amount    ${LUMPSUM_AMOUNT}
    Select Payment Method    ${PAYMENT_METHOD}
    Enter Credit Card Values    ${CARD_DETAILS}
    Validate Errors After Clicking On Process Invoice    ${ERROR_MESSAGE}",This test case checks the validation for processing payment by a declined card functionality of the PayNOW datadriver.,Validate Customer Is Unable To Process Payment By A Declined Card
Generate a Robot Framework test case for testing to validate non integrated customer is able to process the last statement payment using credit card functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that a non-integrated customer is able to process the last statement payment using credit card functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${NON_INTEGRATED_MERCHANT}   NON_INTEGRATED_MERCHANT
${CUSTOMER_DETAILS}          customer_details
${PAYMENT_TYPE}              Lump Sum
${LUMPSUM_AMOUNT}            1
${PAYMENT_METHOD}            Credit Card
${CREDIT_CARD_DETAILS}       CREDIT_CARD_DETAILS
${ACH_ECHECK_DETAILS}        ACH_ECHECK_DETAILS

*** Test Cases ***
Validate Non Integrated Customer Is Able To Process The Last Statement Payment Using Credit Card
    [Documentation]    Test case for validating that a non-integrated customer is able to process the last statement payment using credit card functionality of the PayNOW datadriver
    Generate Random Customer Details
    Enter Customer Details    ${CUSTOMER_DETAILS}    ${NON_INTEGRATED_MERCHANT}
    Select Payment Type    ${PAYMENT_TYPE}
    Enter Lumpsum Amount    ${LUMPSUM_AMOUNT}
    Select Payment Method    ${PAYMENT_METHOD}
    Enter Credit Card Details    ${CREDIT_CARD_DETAILS}
    Validate Total Charges Under Summary Of Payment    $1.03
    Process Invoice Payment
    Validate Payment Receipt Is Generated
    Select Payment Method    ACH / eCheck
    Enter ACH/ECheck Details    ${ACH_ECHECK_DETAILS}
    Process Invoice Payment
    Validate Payment Receipt Is Generated",This test case checks the validation for processing the last statement payment using credit card functionality of the PayNOW datadriver by a non-integrated customer.,Validate Non Integrated Customer Is Able To Process The Last Statement Payment Using Credit Card
Generate a robot framework test case for testing to Validate That Customer Is Able To Expand And Collapse Line Items With '+ & -' Icons In invoice Page functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that the customer is able to expand and collapse line items with '+ & -' icons in invoice page functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${CUSTOMER_DETAILS}          customer_details
${INVOICE_DETAILS}           invoice_details

*** Test Cases ***
Validate Expand And Collapse Line Items In Invoice Page
    [Documentation]    Test case for validating that the customer is able to expand and collapse line items with '+ & -' icons in invoice page functionality of the PayNOW datadriver
    Launch PayNow Application    ${URL}
    Enter Customer Details    ${CUSTOMER_DETAILS}
    Navigate To Invoice Page
    Validate Expand Line Item    ${INVOICE_DETAILS}
    Validate Collapse Line Item    ${INVOICE_DETAILS}",This test case checks the validation for expanding and collapsing line items with '+ & -' icons in the invoice page functionality of the PayNOW datadriver.,Validate Expand And Collapse Line Items In Invoice Page
Generate a robot framework test case for testing to Validate Integrated Customer Is Able To Add Two Or More ACHoreCheck Payment Method Of Same Account Type For Future Use functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that integrated customer is able to add two or more ACHoreCheck payment method of same account type for future use functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${CUSTOMER_DETAILS}          customer_details
${ACH_DETAILS}               ach_details

*** Test Cases ***
Validate Add Multiple ACHoreCheck Payment Methods For Future Use
    [Documentation]    Test case for validating that integrated customer is able to add two or more ACHoreCheck payment method of same account type for future use functionality of the PayNOW datadriver
    Launch PayNow Application    ${URL}
    Enter Customer Details    ${CUSTOMER_DETAILS}
    Add ACHoreCheck Payment Method    ${ACH_DETAILS}
    Validate Payment Method Added Successfully
    Add Another ACHoreCheck Payment Method    ${ACH_DETAILS}
    Validate Both Payment Methods Are Saved",This test case checks the validation for adding two or more ACHoreCheck payment methods of the same account type for future use functionality of the PayNOW datadriver.,Validate Add Multiple ACHoreCheck Payment Methods For Future Use
Generate a robot framework test case for testing to Validate Integrated Customer Is Able To Save ACHorEcheck For Future Use With Account Type - Business Savings functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that integrated customer is able to save ACHorEcheck for future use with account type - Business Savings functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${CUSTOMER_DETAILS}          customer_details
${ACH_DETAILS}               ach_details

*** Test Cases ***
Validate Save ACHorEcheck For Future Use With Business Savings
    [Documentation]    Test case for validating that integrated customer is able to save ACHorEcheck for future use with account type - Business Savings functionality of the PayNOW datadriver
    Launch PayNow Application    ${URL}
    Enter Customer Details    ${CUSTOMER_DETAILS}
    Add ACHorEcheck Payment Method    ${ACH_DETAILS}    Business Savings
    Validate Payment Method Saved Successfully",This test case checks the validation for saving ACHorEcheck for future use with account type - Business Savings functionality of the PayNOW datadriver.,Validate Save ACHorEcheck For Future Use With Business Savings
Generate a robot framework test case for testing to Validate Integrated Customer Is Able To Save ACHorEcheck for future Use With Account Type - Personal Checking functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that integrated customer is able to save ACHorEcheck for future use with account type - Personal Checking functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${CUSTOMER_DETAILS}          customer_details
${ACH_DETAILS}               ach_details

*** Test Cases ***
Validate Save ACHorEcheck For Future Use With Personal Checking
    [Documentation]    Test case for validating that integrated customer is able to save ACHorEcheck for future use with account type - Personal Checking functionality of the PayNOW datadriver
    Launch PayNow Application    ${URL}
    Enter Customer Details    ${CUSTOMER_DETAILS}
    Add ACHorEcheck Payment Method    ${ACH_DETAILS}    Personal Checking
    Validate Payment Method Saved Successfully",This test case checks the validation for saving ACHorEcheck for future use with account type - Personal Checking functionality of the PayNOW datadriver.,Validate Save ACHorEcheck For Future Use With Personal Checking
Generate a robot framework test case for testing to Validate Integrated Customer Is Able To Save ACHorEcheck for future Use With Account Type - Personal Savings functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that integrated customer is able to save ACHorEcheck for future use with account type - Personal Savings functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${CUSTOMER_DETAILS}          customer_details
${ACH_DETAILS}               ach_details

*** Test Cases ***
Validate Save ACHorEcheck For Future Use With Personal Savings
    [Documentation]    Test case for validating that integrated customer is able to save ACHorEcheck for future use with account type - Personal Savings functionality of the PayNOW datadriver
    Launch PayNow Application    ${URL}
    Enter Customer Details    ${CUSTOMER_DETAILS}
    Add ACHorEcheck Payment Method    ${ACH_DETAILS}    Personal Savings
    Validate Payment Method Saved Successfully",This test case checks the validation for saving ACHorEcheck for future use with account type - Personal Savings functionality of the PayNOW datadriver.,Validate Save ACHorEcheck For Future Use With Personal Savings
Generate a robot framework test case for testing to Validate Integrated Customer Is Able To Save All Account Type In ACHorEcheck Payment Method For Future Use functionality of the PayNOW datadriver.,"*** Settings ***
Documentation    Test cases for validating that integrated customer is able to save all account types in ACHorEcheck payment method for future use functionality of the PayNOW datadriver
Library          SeleniumLibrary

*** Variables ***
${URL}                       https://example.com/paynow
${CUSTOMER_DETAILS}          customer_details
${ACH_DETAILS}               ach_details

*** Test Cases ***
Validate Save All Account Types In ACHorEcheck Payment Method For Future Use
    [Documentation]    Test case for validating that integrated customer is able to save all account types in ACHorEcheck payment method for future use functionality of the PayNOW datadriver
    Launch PayNow Application    ${URL}
    Enter Customer Details    ${CUSTOMER_DETAILS}
    Add ACHorEcheck Payment Method    ${ACH_DETAILS}    All Account Types
    Validate Payment Method Saved Successfully",This test case checks the validation for saving all account types in ACHorEcheck payment method for future use functionality of the PayNOW datadriver.,Validate Save All Account Types In ACHorEcheck Payment Method For Future Use
