Prompt,Response,Description,Testcase name,Testcase Name
Generate a robot framework test case for testing to Validate Merchant Is Able To View Invoice Details Page By Clicking On Invoice Number In Payment Status functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that the merchant is able to view invoice details page by clicking on invoice number in payment status functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details

*** Test Cases ***
Validate View Invoice Details Page By Clicking On Invoice Number In Payment Status
    [Documentation] Test case for validating that the merchant is able to view invoice details page by clicking on invoice number in payment status functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Click On Invoice Number In Payment Status
    View Invoice Details Page",This test case checks the validation for viewing invoice details page by clicking on invoice number in payment status functionality of the PayNOW datadriver.,Validate View Invoice Details Page By Clicking On Invoice Number In Payment Status,
Generate a robot framework test case for testing to Validate Merchant Is Able To Navigate To Customer Details From Invoice Summary functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to navigate to customer details from invoice summary functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${INVOICE_SUMMARY}          invoice_summary
${CUSTOMER_DETAILS}         customer_details

*** Test Cases ***
Validate Navigation To Customer Details
    [Documentation] Test case for validating that merchant is able to navigate to customer details from invoice summary functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Invoice Summary Details ${INVOICE_SUMMARY}
    Click On Customer Name
    Validate Navigation To Customer Details ${CUSTOMER_DETAILS}",This test case checks the validation for navigating to customer details from invoice summary functionality of the PayNOW datadriver.,Validate Navigation To Customer Details,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Email Format Details functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to view email format details functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details

*** Test Cases ***
Validate Email Format Details
    [Documentation] Test case for validating that merchant is able to view email format details functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Navigate to Email Format Details
    Validate Email Format Details",This test case checks the validation for viewing email format details functionality of the PayNOW datadriver.,,Validate Email Format Details
Generate a robot framework test case for testing to Validate Merchant Is Able To Navigate To Customer Details Page By Clicking on Customer Number functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to navigate to customer details page by clicking on customer number functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details

*** Test Cases ***
Validate Navigation to Customer Details by Customer Number
    [Documentation] Test case for validating that merchant is able to navigate to customer details page by clicking on customer number functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Click on Customer Number
    Validate Navigation to Customer Details Page",This test case checks the validation for navigating to customer details page by clicking on customer number functionality of the PayNOW datadriver.,,Validate Navigation to Customer Details by Customer Number
Generate a robot framework test case for testing to Validate Merchant Is Able To Navigate To Customer Details Page By Clicking on Customer Name functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to navigate to customer details page by clicking on customer name functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details

*** Test Cases ***
Validate Navigation to Customer Details by Customer Name
    [Documentation] Test case for validating that merchant is able to navigate to customer details page by clicking on customer name functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Click on Customer Name
    Validate Navigation to Customer Details Page",This test case checks the validation for navigating to customer details page by clicking on customer name functionality of the PayNOW datadriver.,,Validate Navigation to Customer Details by Customer Name
Generate a robot framework test case for testing to Validate Merchant Is Able To View Pdf Attached Status In Email Details functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to view pdf attached status in email details functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details

*** Test Cases ***
Validate PDF Attached Status in Email Details
    [Documentation] Test case for validating that merchant is able to view pdf attached status in email details functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Navigate to Email Details
    Validate PDF Attached Status",This test case checks the validation for viewing pdf attached status in email details functionality of the PayNOW datadriver.,,Validate PDF Attached Status in Email Details
Generate a robot framework test case for testing to Validate Merchant Is Able To Verify Email Details functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to verify email details functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details

*** Test Cases ***
Validate Verification of Email Details
    [Documentation] Test case for validating that merchant is able to verify email details functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Navigate to Email Details
    Validate Email Verification",This test case checks the validation for verifying email details functionality of the PayNOW datadriver.,,Validate Verification of Email Details
Generate a robot framework test case for testing to Validate Merchant Is Able To Expand And Collapse Email Details functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that Merchant is able to expand and collapse email details functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${EMAIL_DETAILS}            email_details

*** Test Cases ***
Validate Expand And Collapse Email Details
    [Documentation] Test case for validating that Merchant is able to expand and collapse email details functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Expand Email Details ${EMAIL_DETAILS}
    Collapse Email Details ${EMAIL_DETAILS}",This test case checks the validation for expanding and collapsing email details functionality of the PayNOW datadriver.,Validate Expand And Collapse Email Details,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Email Details In Email Summary functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that Merchant is able to view email details in email summary functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${EMAIL_SUMMARY}            email_summary

*** Test Cases ***
Validate View Email Details In Email Summary
    [Documentation] Test case for validating that Merchant is able to view email details in email summary functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    View Email Details In Email Summary ${EMAIL_SUMMARY}",This test case checks the validation for viewing email details in email summary functionality of the PayNOW datadriver.,Validate View Email Details In Email Summary,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Email Details In Next And Previous Page functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that Merchant is able to view email details in next and previous page functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${EMAIL_PAGE}               email_page

*** Test Cases ***
Validate View Email Details In Next And Previous Page
    [Documentation] Test case for validating that Merchant is able to view email details in next and previous page functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    View Email Details In Next And Previous Page ${EMAIL_PAGE}",This test case checks the validation for viewing email details in next and previous page functionality of the PayNOW datadriver.,Validate View Email Details In Next And Previous Page,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Email Details In Last And First Page functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that Merchant is able to view email details in last and first page functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${EMAIL_PAGE}               email_page

*** Test Cases ***
Validate View Email Details In Last And First Page
    [Documentation] Test case for validating that Merchant is able to view email details in last and first page functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    View Email Details In Last And First Page ${EMAIL_PAGE}",This test case checks the validation for viewing email details in last and first page functionality of the PayNOW datadriver.,Validate View Email Details In Last And First Page,
Generate a robot framework test case for testing to Validate Merchant Is Able To Reset Filter functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that Merchant is able to reset filter functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${FILTER}                   filter

*** Test Cases ***
Validate Reset Filter
    [Documentation] Test case for validating that Merchant is able to reset filter functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Reset Filter ${FILTER}",This test case checks the validation for resetting filter functionality of the PayNOW datadriver.,Validate Reset Filter,
Generate a robot framework test case for testing to Validate Merchant Is Able To View All Active AutoPay Details functionality of the PayNOW datadriver.,"*** Settings *** 
Documentation          Test cases for validating that merchant is able to view all active AutoPay details functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables *** 
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${ACTIVE_AUTOPAY_DETAILS}   active_autopay_details

*** Test Cases *** 
Validate All Active AutoPay Details
    [Documentation] Test case for validating that merchant is able to view all active AutoPay details functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Navigate To AutoPay Details Page
    Validate Active AutoPay Details ${ACTIVE_AUTOPAY_DETAILS}",This test case checks the validation for viewing all active AutoPay details for a merchant in the PayNOW datadriver.,Validate All Active AutoPay Details,
Generate a robot framework test case for testing to Validate Merchant Is Able To Filter Auto Pay Details functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to filter Auto Pay details functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${FILTER_CRITERIA}          filter_criteria
${FILTERED_AUTOPAY_DETAILS} filtered_autopay_details

*** Test Cases ***
Validate Filter Auto Pay Details
    [Documentation] Test case for validating that merchant is able to filter Auto Pay details functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Navigate To AutoPay Details Page
    Apply Filter ${FILTER_CRITERIA}
    Validate Filtered AutoPay Details ${FILTERED_AUTOPAY_DETAILS}",This test case checks the validation for filtering Auto Pay details for a merchant in the PayNOW datadriver.,,Validate Filter Auto Pay Details
Generate a robot framework test case for testing to Validate Merchant Is Able To Cancel AutoPay functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to cancel AutoPay functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                  https://example.com/paynow
${MERCHANT_DETAILS}     merchant_details
${AUTOPAY_TO_CANCEL}    autopay_to_cancel
${CANCELLED_AUTOPAY}    cancelled_autopay

*** Test Cases ***
Validate Cancel AutoPay
    [Documentation] Test case for validating that merchant is able to cancel AutoPay functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Navigate To AutoPay Details Page
    Cancel AutoPay ${AUTOPAY_TO_CANCEL}
    Validate AutoPay Cancelled ${CANCELLED_AUTOPAY}",This test case checks the validation for cancelling AutoPay for a merchant in the PayNOW datadriver.,,Validate Cancel AutoPay
Generate a robot framework test case for testing to Validate Merchant Is Able To Navigate To Customer Details Page From Invoice Page functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to navigate to customer details page from invoice page functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                      https://example.com/paynow
${MERCHANT_DETAILS}         merchant_details
${CUSTOMER_DETAILS_PAGE}    customer_details_page

*** Test Cases ***
Validate Navigation To Customer Details Page
    [Documentation] Test case for validating that merchant is able to navigate to customer details page from invoice page functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Navigate To Invoice Page
    Click On Customer Name
    Validate Navigation To Customer Details Page ${CUSTOMER_DETAILS_PAGE}",This test case checks the validation for navigating to customer details page from invoice page functionality of the PayNOW datadriver.,Validate Navigation To Customer Details Page,
Generate a robot framework test case for testing to Validate Merchant Able To Navigate To PayNOW From Invoice Details functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to navigate to PayNOW from invoice details functionality of the PayNOW datadriver.
Library                SeleniumLibrary

*** Variables ***
${URL}                  https://example.com/paynow
${MERCHANT_DETAILS}     merchant_details

*** Test Cases ***
Validate Navigation From Invoice Details
    [Documentation] Test case for validating that merchant is able to navigate to PayNOW from invoice details functionality of the PayNOW datadriver.
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Navigate To Invoice Details
    Navigate To PayNOW From Invoice Details",This test case checks the validation for merchant's ability to navigate to PayNOW from invoice details functionality of the PayNOW datadriver.,Validate Navigation From Invoice Details,
Generate a robot framework test case for testing to Validate Merchant Is Able To Navigate To PayNOW From Customer Details functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to navigate to PayNOW from customer details functionality of the PayNOW datadriver.
Library                SeleniumLibrary

*** Variables ***
${URL}                  https://example.com/paynow
${MERCHANT_DETAILS}     merchant_details

*** Test Cases ***
Validate Navigation From Customer Details
    [Documentation] Test case for validating that merchant is able to navigate to PayNOW from customer details functionality of the PayNOW datadriver.
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Navigate To Customer Details
    Navigate To PayNOW From Customer Details",This test case checks the validation for merchant's ability to navigate to PayNOW from customer details functionality of the PayNOW datadriver.,Validate Navigation From Customer Details,
Generate a robot framework test case for testing to Validate Merchant Is Able To Navigate To PayNOW From Email functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that merchant is able to navigate to PayNOW from email functionality of the PayNOW datadriver.
Library                SeleniumLibrary

*** Variables ***
${URL}                  https://example.com/paynow
${MERCHANT_DETAILS}     merchant_details

*** Test Cases ***
Validate Navigation From Email
    [Documentation] Test case for validating that merchant is able to navigate to PayNOW from email functionality of the PayNOW datadriver.
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Navigate To Email
    Navigate To PayNOW From Email",This test case checks the validation for merchant's ability to navigate to PayNOW from email functionality of the PayNOW datadriver.,Validate Navigation From Email,
Generate a robot framework test case for testing to Validate Merchant Is Able To Search Invoice Details With Invoice Number,"*** Settings ***
Documentation          Validate Merchant Is Able To Search Invoice Details With Invoice Number
Library                SeleniumLibrary

*** Variables ***
${URL}                  https://example.com
${CUSTOMER_DETAILS}     customer_details

*** Test Cases ***
Validate Merchant Is Able To Search Invoice Details With Invoice Number
    [Documentation] Validate Merchant Is Able To Search Invoice Details With Invoice Number
    Launch Application ${URL}
    Enter Customer Details ${CUSTOMER_DETAILS}
    Search Invoice By Invoice Number
    Validate Invoice Details Displayed",This test case checks the validation for merchant's ability to search invoice details with invoice number functionality.,Validate Merchant Is Able To Search Invoice Details With Invoice Number,
Generate a robot framework test case for testing to Validate Merchant Is Able To Search Invoice Details With Customer Number,"*** Settings ***
Documentation          Validate Merchant Is Able To Search Invoice Details With Customer Number
Library                SeleniumLibrary

*** Variables ***
${URL}                  https://example.com
${CUSTOMER_DETAILS}     customer_details

*** Test Cases ***
Validate Merchant Is Able To Search Invoice Details With Customer Number
    [Documentation] Validate Merchant Is Able To Search Invoice Details With Customer Number
    Launch Application ${URL}
    Enter Customer Details ${CUSTOMER_DETAILS}
    Search Invoice By Customer Number
    Validate Invoice Details Displayed",This test case checks the validation for merchant's ability to search invoice details with customer number functionality.,Validate Merchant Is Able To Search Invoice Details With Customer Number,
Generate a robot framework test case for testing to Validate Merchant Is Able To Search With Invoice And Customer Number,"*** Settings ***
Documentation          Validate Merchant Is Able To Search With Invoice And Customer Number
Library                SeleniumLibrary

*** Variables ***
${URL}                  https://example.com
${CUSTOMER_DETAILS}     customer_details

*** Test Cases ***
Validate Merchant Is Able To Search With Invoice And Customer Number
    [Documentation] Validate Merchant Is Able To Search With Invoice And Customer Number
    Launch Application ${URL}
    Enter Customer Details ${CUSTOMER_DETAILS}
    Search Invoice By Invoice And Customer Number
    Validate Invoice Details Displayed",This test case checks the validation for merchant's ability to search with invoice and customer number functionality.,Validate Merchant Is Able To Search With Invoice And Customer Number,
Generate a robot framework test case for testing to Validate Merchant Is Able To View Email Address In Email Detail,"*** Settings ***
Documentation          Validate Merchant Is Able To View Email Address In Email Detail
Library                SeleniumLibrary

*** Variables ***
${URL}                  https://example.com
${CUSTOMER_DETAILS}     customer_details

*** Test Cases ***
Validate Merchant Is Able To View Email Address In Email Detail
    [Documentation] Validate Merchant Is Able To View Email Address In Email Detail
    Launch Application ${URL}
    Enter Customer Details ${CUSTOMER_DETAILS}
    View Email Detail
    Validate Email Address Displayed",This test case checks the validation for merchant's ability to view email address in email detail functionality.,Validate Merchant Is Able To View Email Address In Email Detail,
Generate a robot framework test case for testing to Validate Merchant Is Able To Send Invoice Email From Invoice Details Page functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that Merchant Is Able To Send Invoice Email From Invoice Details Page functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                  https://example.com/paynow
${MERCHANT_DETAILS}     merchant_details
${INVOICE_DETAILS}      invoice_details

*** Test Cases ***
Validate Sending Invoice Email
    [Documentation] Test case for validating that Merchant Is Able To Send Invoice Email From Invoice Details Page functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Navigate to Invoice Details Page
    Click Send Invoice Email
    Validate Email Sent",This test case checks the validation for sending invoice email from invoice details page functionality of the PayNOW datadriver.,Validate Sending Invoice Email,
Generate a robot framework test case for testing to Validate Merchant Is Able To Send Invoice Email Copy From Invoice Details Page functionality of the PayNOW datadriver.,"*** Settings ***
Documentation          Test cases for validating that Merchant Is Able To Send Invoice Email Copy From Invoice Details Page functionality of the PayNOW datadriver
Library                SeleniumLibrary

*** Variables ***
${URL}                  https://example.com/paynow
${MERCHANT_DETAILS}     merchant_details
${INVOICE_DETAILS}      invoice_details

*** Test Cases ***
Validate Sending Invoice Email Copy
    [Documentation] Test case for validating that Merchant Is Able To Send Invoice Email Copy From Invoice Details Page functionality of the PayNOW datadriver
    Launch PayNow Application ${URL}
    Enter Merchant Details ${MERCHANT_DETAILS}
    Navigate to Invoice Details Page
    Click Send Invoice Email Copy
    Validate Email Copy Sent",This test case checks the validation for sending invoice email copy from invoice details page functionality of the PayNOW datadriver.,Validate Sending Invoice Email Copy,
